id,created_at,swardspeak_words,translated_words,updated_at,deleted_at,word_contribution_id,definition,examples,part_of_speech
a2fe6cc5-cac7-4521-9594-d2bda8c9307c,2024-03-25 03:54:46.143707+00,"[""Fez"",""Peslock"",""Pesang""]","[""Mukha""]",2024-03-25 03:54:46.143707+00,,,"Tumutukoy sa bahagi ng katawan ng tao na nasa harapan ng ulo, kung saan matatagpuan ang mga mata, ilong, at bibig. Ito rin ay ginagamit upang ilarawan ang hitsura o anyo ng isang tao.","[""\""Ang feslak ni Juan ay puno ng ligaya at ngiti matapos niyang makamit ang kanyang pangarap.\""""]",noun
6ebf87db-a82b-4844-aa51-da831017bb2b,2024-03-25 03:41:44.563345+00,"[""Bongga""]","[""Enggrande""]",2024-03-25 03:41:44.563345+00,,,"Nangangahulugang magarbo, marangya, o malaki at kahanga-hanga. Ito ay karaniwang ginagamit upang ilarawan ang mga okasyon, handaan, o mga bagay na ipinapakita nang labis na karangyaan.","[""\""Naging bongga ang kasal nila Juan at Maria, kaya't maraming humanga sa ganda ng kanilang selebrasyon.\""""]",noun
dce80eb6-0045-48e0-b6f9-b629a76bbf64,2024-03-25 03:43:11.524059+00,"[""Bugarou"",""Yosi""]","[""Sigarilyo""]",2024-03-25 03:43:11.524059+00,,,"Isang maliit na silindro ng pinatuyong dahon ng tabako na nilalaman sa papel, na karaniwang sinusunog at hinihithit ng mga naninigarilyo.","[""\""Huwag kang mag-Bugarou sa loob ng bahay dahil masama ang epekto ng usok ng sigarilyo sa kalusugan.\""""]",noun
2cb52b5a-e858-40f6-99bf-bccdae12786c,2024-03-25 03:47:06.214035+00,"[""Check""]","[""Okay""]",2024-03-25 03:47:06.214035+00,,,"Isang pahayag na nagpapahayag ng pagsang-ayon, pag-apruba, o pagtanggap sa isang bagay. Maaari rin itong mangahulugang ""ayos,"" ""mabuti,"" o ""sige.""","[""\""Check lang sa akin kung gusto mong pumunta sa beach ngayong weekend.\""""]",noun
11db6498-a9b8-4fc1-9885-0761b7f2a1c8,2024-03-25 03:48:28.247638+00,"[""Chika"",""Chismaks"",""Chova""]","[""Tsismis""]",2024-03-25 03:48:28.247638+00,,,"Usap-usapan o balitang walang katiyakan ang katotohanan, karaniwang tungkol sa buhay ng ibang tao.","[""\""Maraming chismaks ang kumalat sa barangay tungkol sa bagong lipat na pamilya.\""""]",noun
ad8a68fa-eff7-4e56-bd76-c0965417f39d,2024-03-25 03:51:46.6461+00,"[""Dyosa"",""Quality Control"",""Gander""]","[""Maganda"",""Ganda""]",2024-03-25 03:51:46.6461+00,,,"Isang bagay, lugar, o tao na may kaakit-akit na anyo, kabuuan, o katangian. Ito ay nagpapahiwatig ng kagandahan, kaaya-aya, o kahalagahan.","[""\""Ang araw na ito ay magander ang panahon, kaya't maganda ring maglibot sa mga tanawin.\""""]",adjective
416d87b1-509b-4936-955c-9a3276fee4fe,2024-03-25 04:20:30.363217+00,"[""Kalurkey"",""Kaeklabuhan"",""Ek-Ek"",""Emote"",""Emma Thompson""]","[""Kaartehan""]",2024-03-25 04:20:30.363217+00,,,,[],
a9e1cbe8-b047-47e3-ae83-ff8f88a093dd,2024-03-25 03:56:23.004887+00,"[""Gibsung"",""Givenchy"",""Debbie Gibson"",""Janno Gibbs""]","[""Bigay""]",2024-03-25 03:56:23.004887+00,,,"Pagbibigay o paghahandog ng isang bagay sa iba. Ito ay maaaring maging regalo, tulong, o anumang bagay na ipinapaabot sa iba.","[""\""Ginibsung ni Ana ng bulaklak ang kanyang kaibigan bilang regalo sa kanyang kaarawan.\""""]",verb
bc7fb565-9160-45c0-9c2b-13a88cf3c573,2024-03-25 03:59:15.004176+00,"[""Hagardo Bersoza""]","[""Pagod na, Pangit pa""]",2024-03-25 03:59:15.004176+00,,,Idyomatikong pahayag na nangangahulugang ang isang tao ay mukhang pagod o napapagod at sa parehong oras ay hindi rin gaanong kaaya-aya sa paningin ng iba dahil sa hitsura. Ito ay nagpapakita ng kontrast sa pagitan ng pisikal na anyo at damdamin o kalagayan.,"[""\""Ang init! Hagardo Bersoza na tuloy ako.\""""]",adjective
f44a2c6b-59d7-415c-8bd8-a8aa62cb7d46,2024-03-25 04:18:51.941817+00,"[""Juwelya""]","[""Bumali, umuwi""]",2024-03-25 04:18:51.941817+00,,,,[],
