id,created_at,deleted_at,swardspeak_phrase,translated_phrase,updated_at,phrase_contribution_id
a7bc1caf-0dc3-4412-95d3-52ff522a10cc,2024-05-11 05:00:00.02832+00,,Holabels! May chova akis!,Hello! May chismis ako!,2024-05-11 05:00:00.02832+00,
76646df6-f258-4c5d-adc3-4cb47e3f2889,2024-05-11 05:02:43.716841+00,,Hindi kami maka-gorabels ditey! Jumujulanis Morisette nang malakas.,Hindi kami makaalis dito! Umuulan nang malakas.,2024-05-11 05:02:43.716841+00,
2fc1756c-b87c-40dc-9b1d-4a2b0df4fec7,2024-05-11 05:12:30.250398+00,,Nalotlot ang mga bagets dahil sila ay mga ate chona.,Natalo ang mga bata dahil sila ay mga pangit ang ugali.,2024-05-11 05:12:30.250398+00,
243ef0cf-e1bc-4a38-b762-a4bfc84a5b06,2024-05-11 05:14:16.351475+00,,Iwasan mo ang otokong itech! Gellie De Belen ang iyong Joanna Paras,Iwasan mo ang lalaking ito! Nagseselos ang iyong asawa,2024-05-11 05:14:16.351475+00,
1e1d44dc-0ab1-4941-bc1e-15ca334f661b,2024-05-11 05:19:01.963405+00,,Dedma ang mga badessa!,Huwag pansinin ang mga bakla na umaastang parang prinsesa!,2024-05-11 05:19:01.963405+00,
192e8a9e-0773-4356-a452-4625883ff54d,2024-05-11 05:27:06.200933+00,,"Kumustasa Kalabasa, juts na Erika Marie?","Kumusta, munting Erika Marie?",2024-05-11 05:27:06.200933+00,
a0f245e3-3191-41b1-9d77-eadee5100a53,2024-05-11 05:29:05.399143+00,,Pacita Complex na ang panahon na itech,Lumipas na ang panahon na ito,2024-05-11 05:29:05.399143+00,
d01775d7-b7fd-40f9-b780-14e83c54b7b3,2024-05-11 05:32:38.644168+00,,Wititit ka pwedeng maging petiks tuwing lalabas ng balur sa gabi!,Hindi ka pwede maging kampante tuwing lalabas ng bahay sa gabi!,2024-05-11 05:32:38.644168+00,
fccacdfc-c504-4c5e-ac34-cdeff719f735,2024-05-11 05:40:03.62109+00,,Winnie Santos si baklush! May jowabels na AFAM na masyoti!,Panalo si bakla! May kasintahang foreigner na maputi ang balat!,2024-05-11 05:40:03.62109+00,
e2f97ad8-c1db-46ea-b444-bb10368b394a,2024-05-11 05:42:43.537711+00,,Ang shala ng Lilet!,Ang sosyal ng batang beki!,2024-05-11 05:42:43.537711+00,
38757090-080b-466b-8abc-b868f8994dcb,2024-05-11 06:17:48.921137+00,,"Ang junakis ni Aling Beth, umerna sa shorts!","Ang anak ni Aling Beth, tumae sa shorts!",2024-05-11 06:17:48.921137+00,
5b763262-d278-4d03-95cc-83f4f34fce37,2024-05-11 06:20:41.065948+00,,Na-boogie wonderland ang bortang ermingarde ng mga magna cum laude!,Nabugbog ang sekyung malaki ang katawan ng mga magnanakaw!,2024-05-11 06:20:41.065948+00,
c7da9551-28e8-4635-aa65-0f2392edb84b,2024-05-11 14:41:03.857523+00,,Wiz pwede ang Egyptian Airlines phaseout!,Hindi pwede ang jeepney phaseout!,2024-05-11 14:41:03.857523+00,
c4ac0506-baca-46c1-8f23-bb8a7d5e1875,2024-05-11 14:47:22.025932+00,,Yayo Aguila fatale ang aking jowabels!,Mahiyain sobra ang aking kasintahan!,2024-05-11 14:47:22.025932+00,
fa1f4f84-670f-4548-8866-5ce89a760aea,2024-05-11 14:50:54.70938+00,,"Lapel ang backstreet boys, Rita Gomez!","Malakas ang boses ng mga lalaki sa likod, nakakairita!",2024-05-11 14:50:54.70938+00,
fbceb9a5-6f1c-4e63-a309-e93281fae284,2024-05-11 15:12:38.627288+00,,NakakaCes Drilon! Makashugug ng Ate Vangie,Nakakaistress! Makainom ng gamot pampatulog,2024-05-11 15:12:38.627288+00,
ad250526-70d4-494f-a913-90d3a507edc0,2024-05-12 12:59:25.706261+00,,Cynthia yung kausap mo?,Sino yung kausap mo?,2024-05-12 12:59:25.706261+00,
ee087438-f888-40cd-acaa-ef540a5be177,2024-05-12 13:00:31.669875+00,,"Ang chipipay ng mga nagbebenta sa palengke, bibili lang naman ako ng nyoging.",Ang babarat ng mga nagbebenta sa palengke bibili lang namana ko ng saging.,2024-05-12 13:00:31.669875+00,
4fb7e855-7aff-4455-9aac-ba02154c2983,2024-05-12 13:02:22.585174+00,,"Gastador ka kasi, Purita Kalaw na tuloy ang ferson","Gastador ka kasi, walang pera na tuloy ang tao",2024-05-12 13:02:22.585174+00,
c8faa860-d67b-4412-9499-b101ff489368,2024-05-12 13:02:52.484131+00,,Ang klasmarurut ko halatang pamin!,Ang kaklase ko ay halatang bakla!,2024-05-12 13:02:52.484131+00,
5cf395d0-14cc-4130-aa8e-ebeb0e933ad2,2024-05-12 13:03:31.212986+00,,Anetch yang kino-Cookie Chua mo?,Ano yang niluluto mo?,2024-05-12 13:03:31.212986+00,
b3db319a-aac8-4b42-b872-10bada6f8bc0,2024-05-12 13:06:08.961399+00,,Ang mga tambay na thunderclouds sa kanto ay mga bastos kaya nagkawarlahan!,Ang mga tambay na matatanda sa kanto ay bastos kaya nagkaguluhan!,2024-05-12 13:06:08.961399+00,
d20fa0c3-9b29-4542-84cf-1f5db0b0af71,2024-05-12 13:09:22.669535+00,,Ang aking Besi ay nakatira sa Skuala Lumpur kaya madalas masakit ang kanyang Chanda Romero,Ang aking kaibigan ay nakatira sa squatter's area kaya madalas masakit ang kanyang tiyan!,2024-05-12 13:09:22.669535+00,
e1ba8f08-9a08-4964-b83c-702e2cd1a8d7,2024-05-12 13:11:27.81327+00,,Dyosa ka nga shongit naman ugali mo,Maganda ka nga panget naman ugali mo,2024-05-12 13:11:27.81327+00,
0af1fa81-df23-423a-8c3c-70e3c81b03da,2024-05-12 13:14:48.740468+00,,Buti pa sa kwento ng mga Siete Pecados may watut aketch!,Buti pa sa kwento ng mga tsismosa may karelasyon ako!,2024-05-12 13:14:48.740468+00,
1fb110a5-a0a7-4181-bbe5-b2a40ee7ef32,2024-05-12 13:49:49.371613+00,,Sinetch itey? Nagcareless whisper tapos lumabas ang Alma Moreno?,Sino ito? Umutot tapos lumabas ang almuranas,2024-05-12 13:49:49.371613+00,
266cee80-f210-4ed6-ba89-ba75c51aeec4,2024-05-12 13:56:56.822501+00,,Magingat ka sa mga Jokjok Bolante baka mayroon silang Anita Linda,Magingat ka sa mga prostitute baka mayroon silang AIDS,2024-05-12 13:56:56.822501+00,
8f718d6f-60fd-4136-be0e-a7379789fa8a,2024-05-12 14:09:22.065854+00,,Kinarir naman ni Mariposa ang pag-eemote,Sinabuhay naman ni bakla ang pageemote,2024-05-12 14:09:22.065854+00,
12006560-628b-4b3e-b907-7ed6c8c81e21,2024-05-12 14:12:51.937735+00,,"Kasasakay ko pa lang ng Jipamy, parang gusto ko na magfly away dahil napakaJinit","Kasasakay ko pa lang ng jeep, parang gusto ko na umalis dahil napakainit",2024-05-12 14:12:51.937735+00,
7dc67b1b-7c40-495a-8c23-2c041143a946,2024-05-12 14:53:05.304852+00,,Hinablot ng Dorobo ang Bagelya ko sa Busabos!,Hinablot ng magnanakaw ang bag ko sa bus!,2024-05-12 14:53:05.304852+00,
efeb28e2-cad2-4a50-beb9-3575eecd50e2,2024-05-12 15:03:51.673835+00,,Rusty Lopez ang mga Jotabelz papasok sa Skulembang,Nagmamadali ang mga bata papasok sa paaralan,2024-05-12 15:03:51.673835+00,
9684d6fe-b23c-4f39-a01c-c4d4fc7bd4b9,2024-05-12 15:05:39.782173+00,,Nakakahiya! Kulang ang binayad kong Variables sa buselya kanina,Nakakahiya! Kulang ang binayad kong barya sa bus kanina.,2024-05-12 15:05:39.782173+00,
4095701d-e45e-4ba8-9cde-3387bbd14a8b,2024-05-12 15:20:57.570384+00,,"Regal Drama Hour na sa aming nomo, shenglot na ang aking mga repapipz","Nakakaiyak na kwentuhan na sa aming inuman, lasing na ang aking mga kaibigan",2024-05-12 15:20:57.570384+00,
9928bd4d-d514-4545-b855-915ef4dc8b62,2024-05-12 15:22:24.487147+00,,NakakaDaot na ang pagtawag mo ng Aglipay sa anakis ni Aling Biday,Nakakainsulto na ang pagtawag mo ng panget na pinay sa anak ni Aling Biday,2024-05-12 15:22:24.487147+00,
778c9697-154a-44fa-9c67-f93e476bcf93,2024-05-12 15:25:18.547849+00,,Kyogong lafang na naman si Beklabu,Bagong kain na naman si Bakla,2024-05-12 15:25:18.547849+00,
28d3f087-5ee9-4a66-8fd9-f8f2865ed0c3,2024-05-12 15:26:05.297234+00,,"Sa Balurva manganganak ang Jontis. ",Sa bahay manganganak ang buntis,2024-05-12 15:26:05.297234+00,
0c932af7-6051-4898-88bd-46459d4e6958,2024-05-12 15:28:21.925236+00,,uso ang Ismelanie Marques na putok ngayong panahon ng Sandara Park,Uso ang amoy putok ngayong panahon ng tag-init,2024-05-12 15:28:21.925236+00,
9a915857-e7c4-4627-a974-032f7c5386fd,2024-05-12 15:30:57.917263+00,,Ang chika ay itech na Chiminey Cricket ng kapitbahay ay Jinaneth Napoles ang alahas ng kanilang amo,Ang tsismis ay itong kasambahay ng kapitbahay ay dinukot ang alahas ng kanilang amo,2024-05-12 15:30:57.917263+00,
